"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2014","7,326.81","7,253.74","7,430.46","7,146.12","1.82B","1.03%"
"09/01/2014","7,252.14","7,033.73","7,285.32","7,003.58","2.00B","3.10%"
"08/01/2014","7,034.09","6,814.68","7,034.09","6,796.91","2.35B","3.23%"
"07/01/2014","6,813.90","6,376.41","6,818.08","6,353.35","1.91B","6.82%"
"06/01/2014","6,378.62","6,264.46","6,378.62","6,262.16","1.11B","1.84%"
"05/01/2014","6,263.46","6,223.44","6,330.45","6,218.40","1.34B","0.64%"
"04/01/2014","6,223.67","5,963.80","6,229.66","5,953.09","614.85M","4.28%"
"03/01/2014","5,968.31","5,944.29","5,996.66","5,887.72","422.86M","0.47%"
"02/01/2014","5,940.31","6,241.97","6,249.23","5,827.72","869.48M","-4.93%"
"01/01/2014","6,248.08","5,913.48","6,285.98","5,912.78","1.40B","5.67%"
"12/01/2013","5,912.78","5,779.66","5,917.80","5,763.47","760.42M","2.38%"
"11/01/2013","5,775.09","5,954.87","5,965.26","5,735.08","1.00B","-3.01%"
"10/01/2013","5,954.62","5,802.98","5,982.08","5,777.27","1.16B","2.61%"
"09/01/2013","5,803.32","5,834.40","5,842.36","5,604.59","835.37M","-0.53%"
"08/01/2013","5,834.04","6,037.56","6,252.86","5,753.20","612.91M","-3.37%"
"07/01/2013","6,037.22","6,124.44","6,165.82","5,979.57","472.29M","-1.37%"
"06/01/2013","6,121.01","6,458.86","6,474.92","6,071.78","518.17M","-5.29%"
"05/01/2013","6,463.06","5,662.23","6,528.11","5,658.23","919.85M","8.56%"
"04/01/2013","5,953.19","5,734.99","6,005.66","5,684.98","815.54M","3.79%"
"03/01/2013","5,735.68","5,637.05","5,784.63","5,623.74","625.02M","1.77%"
"02/01/2013","5,635.90","5,823.84","5,879.59","5,633.70","544.30M","-3.11%"
"01/01/2013","5,816.89","5,642.87","5,895.78","5,632.97","784.83M","3.08%"
"12/01/2012","5,643.00","5,350.59","5,643.00","5,323.21","484.29M","5.45%"
"11/01/2012","5,351.25","5,518.27","5,615.12","5,334.68","1.05B","-2.95%"
"10/01/2012","5,513.64","5,977.08","6,005.90","5,512.08","647.73M","-7.67%"
"09/01/2012","5,971.99","5,186.35","5,995.92","5,180.15","2.06B","15.29%"
"08/01/2012","5,180.15","4,945.32","5,182.26","4,842.89","603.24M","4.76%"
"07/01/2012","4,944.86","4,966.58","4,971.35","4,822.64","488.28M","-0.42%"
"06/01/2012","4,965.77","4,832.57","5,083.56","4,725.57","725.68M","2.77%"
"05/01/2012","4,832.15","5,423.44","5,434.36","4,803.57","524.14M","-10.83%"
"04/01/2012","5,419.20","5,425.33","5,560.82","5,382.36","529.79M","-0.02%"
"03/01/2012","5,420.20","5,458.09","5,498.13","5,347.20","629.78M","-0.69%"
"02/01/2012","5,458.09","5,693.92","5,713.48","4,962.44","978.24M","-4.14%"
"01/01/2012","5,693.92","6,074.52","6,108.77","5,450.73","969.44M","-6.26%"
"12/01/2011","6,074.42","6,087.45","6,167.17","5,838.69","651.54M","-0.21%"
"11/01/2011","6,087.40","6,319.40","6,490.91","5,686.14","1.18B","-3.67%"
"10/01/2011","6,319.25","6,783.64","6,807.61","6,260.29","1.25B","-6.84%"
"09/01/2011","6,783.55","6,879.29","7,019.49","6,705.87","3.74B","-1.39%"
"08/01/2011","6,879.29","6,845.41","7,142.95","6,631.78","2.26B","0.50%"
"07/01/2011","6,845.38","6,826.15","7,041.72","6,413.11","1.62B","0.28%"
"06/01/2011","6,825.94","7,418.07","7,460.98","6,818.38","4.36B","-7.98%"
"05/01/2011","7,418.07","7,356.97","7,532.76","7,201.12","1.98B","0.83%"
"04/01/2011","7,356.97","7,226.12","7,609.97","7,226.12","873.55M","1.81%"
"03/01/2011","7,226.12","7,797.96","7,817.82","7,023.11","1.42B","-7.33%"
"02/01/2011","7,797.96","7,174.37","7,863.74","7,174.24","1.49B","8.68%"
